time;temp;humidity;CO2;TCOV
01/03/2023 01:50;32;41;975;22.68
01/03/2023 01:51;32;41;975;23.81
01/03/2023 01:51;32;41;973;27.76
01/03/2023 01:52;32;41;973;36.23
01/03/2023 01:52;32;41;978;32.7
01/03/2023 01:53;32;41;978;39.58
01/03/2023 01:53;32;41;978;34.57
01/03/2023 01:54;32;41;975;30.16
01/03/2023 01:54;32;41;975;33.33
01/03/2023 01:55;32;41;975;30.65
01/03/2023 01:55;32;41;975;36.51
01/03/2023 01:56;32;41;973;23.53
01/03/2023 01:56;32;41;973;34.15
01/03/2023 01:57;32;41;978;40.81
01/03/2023 01:57;32;41;975;27.62
01/03/2023 01:58;32;41;975;41.91
01/03/2023 01:58;32;41;978;34.46
01/03/2023 01:59;32;41;978;36.83
01/03/2023 01:59;32;41;973;36.33
01/03/2023 02:00;32;41;975;24.41
01/03/2023 02:00;32;41;975;21.52
01/03/2023 02:01;32;41;975;23.35
01/03/2023 02:01;32;41;975;30.83
01/03/2023 02:02;32;41;975;35.77
01/03/2023 02:02;32;41;975;48.65
01/03/2023 02:03;32;41;975;48.08
01/03/2023 02:03;32;41;975;35.13
01/03/2023 02:04;32;41;978;26.91
01/03/2023 02:04;32;41;978;10.58
01/03/2023 02:05;32;41;978;25.26
01/03/2023 02:05;32;41;978;27.41
01/03/2023 02:06;32;41;978;45.26
01/03/2023 02:06;32;41;978;44.27
01/03/2023 02:07;32;41;978;38.6
01/03/2023 02:07;32;41;978;36.62
01/03/2023 02:08;31;41;978;31.85
01/03/2023 02:08;31;41;978;31.11
01/03/2023 02:09;32;41;978;22.29
01/03/2023 02:09;31;41;978;29.91
01/03/2023 02:10;32;41;975;37.71
01/03/2023 02:10;32;41;978;35.8
01/03/2023 02:11;32;41;975;35.45
01/03/2023 02:11;31;41;980;29.49
01/03/2023 02:12;32;41;983;23.99
01/03/2023 02:12;32;41;980;19.72
01/03/2023 02:13;31;41;980;33.16
01/03/2023 02:13;32;41;983;47.45
01/03/2023 02:14;31;41;983;35.06
01/03/2023 02:14;31;41;980;24.76
01/03/2023 02:15;31;41;980;32.81
01/03/2023 02:15;31;41;983;34.18
01/03/2023 02:16;31;41;983;35.03
01/03/2023 02:16;31;41;978;35.24
01/03/2023 02:17;31;41;983;32.03
01/03/2023 02:17;31;41;980;29.14
01/03/2023 02:18;31;41;983;27.65
01/03/2023 02:18;31;41;980;26.56
01/03/2023 02:19;31;41;983;28.25
01/03/2023 02:19;31;41;983;27.73
01/03/2023 02:20;31;41;980;15.06
01/03/2023 02:20;31;41;985;30.65
01/03/2023 02:21;31;41;985;48.33
01/03/2023 02:22;31;41;980;42.97
01/03/2023 02:22;31;41;983;50.16
01/03/2023 02:23;31;41;980;23.28
01/03/2023 02:23;31;41;983;45.89
01/03/2023 02:24;31;41;983;33.37
01/03/2023 02:24;31;41;983;30.23
01/03/2023 02:25;31;41;983;35.8
01/03/2023 02:25;31;41;983;39.83
01/03/2023 02:26;31;42;983;51.01
01/03/2023 02:26;31;42;983;34.57
01/03/2023 02:27;32;42;983;36.65
01/03/2023 02:27;32;41;983;33.16
01/03/2023 02:28;32;42;980;25.57
01/03/2023 02:28;32;41;980;40.67
01/03/2023 02:29;31;41;980;34.39
01/03/2023 02:29;32;41;983;31.39
01/03/2023 02:30;31;41;980;28.92
01/03/2023 02:30;32;41;980;48.65
01/03/2023 02:31;32;41;980;39.65
01/03/2023 02:31;32;41;980;48.65
01/03/2023 02:32;32;41;980;32.24
01/03/2023 02:32;32;41;980;31.08
01/03/2023 02:33;32;41;983;36.47
01/03/2023 02:33;32;41;983;43.57
01/03/2023 02:34;32;41;983;32.84
01/03/2023 02:34;32;41;980;41.98
01/03/2023 02:35;32;41;983;56.8
01/03/2023 02:35;32;41;980;65.05
01/03/2023 02:36;32;41;980;46.99
01/03/2023 02:36;32;41;980;37.67
01/03/2023 02:37;32;41;983;20.7
01/03/2023 02:37;32;41;983;30.19
01/03/2023 02:38;32;41;980;26.95
01/03/2023 02:38;32;41;980;41.91
01/03/2023 02:39;32;41;983;34.43
01/03/2023 02:39;32;41;983;32.81
